aug_id,global_weight,global_active,class_mean_weight,class_max_weight,class_active_frequency,augmentation_name,transform_class
aug_060,0.000397991,True,0.0046965303,0.15510875,1.0,rgb_red_minus_10,RGBShift
aug_061,0.00040085491,True,0.006623358,0.31099913,1.0,rgb_red_plus_10,RGBShift
aug_062,0.00034764677,True,0.00798414,0.34995475,1.0,rgb_green_minus_10,RGBShift
aug_063,0.00038336669,True,0.006862227,0.2822255,1.0,rgb_green_plus_10,RGBShift
aug_064,0.00040054478,True,0.0059950138,0.13759337,1.0,rgb_blue_minus_10,RGBShift
aug_065,0.00036627383,True,0.004997961,0.15542871,1.0,rgb_blue_plus_10,RGBShift
aug_066,0.0003679849,True,0.0064514102,0.15232323,1.0,planckian_warm_blackbody,PlanckianJitter
aug_067,0.00044299779,True,0.008132871,0.415446,1.0,planckian_daylight_blackbody,PlanckianJitter
aug_068,0.0003268341,True,0.007953915,0.41578695,1.0,planckian_cool_blackbody,PlanckianJitter
aug_069,0.022358676,True,0.011910283,0.47142962,1.0,planckian_warm_cied,PlanckianJitter
aug_070,0.00036932266,True,0.0070231254,0.34656295,1.0,planckian_daylight_cied,PlanckianJitter
aug_071,0.00042240735,True,0.0038440367,0.073148616,1.0,planckian_cool_cied,PlanckianJitter
aug_072,0.03901546,True,0.033609714,0.9340241,1.0,gray_weighted,ToGray
aug_073,0.00039850242,True,0.004131971,0.1759647,1.0,blur_3,Blur
aug_074,0.00058927893,True,0.004459564,0.3563909,1.0,blur_5,Blur
aug_075,0.0003496102,True,0.0054028244,0.23120031,1.0,gaussian_blur_sigma_05,GaussianBlur
aug_076,0.00041350146,True,0.0049851667,0.19913384,1.0,gaussian_blur_sigma_10,GaussianBlur
aug_077,0.0005266442,True,0.003960839,0.23046657,1.0,gaussian_blur_sigma_15,GaussianBlur
aug_078,0.0003121859,True,0.0058718356,0.20472753,1.0,median_blur_3,MedianBlur
aug_079,0.006125844,True,0.013408476,0.9213239,1.0,median_blur_5,MedianBlur
aug_080,0.00034193424,True,0.004573517,0.14713037,1.0,motion_blur_3_horizontal,MotionBlur
aug_081,0.00035986135,True,0.011572568,0.92925906,1.0,motion_blur_5_horizontal,MotionBlur
aug_082,0.0003604726,True,0.011466948,0.76288295,1.0,motion_blur_5_diagonal,MotionBlur
aug_083,0.0004964729,True,0.0053846096,0.30148196,1.0,defocus_radius_3,Defocus
aug_084,0.0006633832,True,0.007854306,0.5233386,1.0,defocus_radius_5,Defocus
aug_085,0.0007880303,True,0.013042174,0.36733845,1.0,sharpen_light,Sharpen
aug_086,0.019669488,True,0.016661426,0.7897634,1.0,sharpen_medium,Sharpen
aug_087,0.00041970718,True,0.0042297835,0.06781811,1.0,unsharp_mask_light,UnsharpMask
aug_088,0.0004355648,True,0.0052959076,0.15804592,1.0,enhance_detail_light,Enhance
aug_089,0.012214177,True,0.010556503,0.5771784,1.0,jpeg_quality_70,ImageCompression
aug_090,0.0022821003,True,0.013436824,0.81207097,1.0,jpeg_quality_50,ImageCompression
aug_091,0.0008350774,True,0.012928346,0.5294476,1.0,jpeg_quality_30,ImageCompression
aug_092,0.03451667,True,0.01573667,0.9221678,1.0,jpeg_quality_15,ImageCompression
aug_093,0.0014192521,True,0.01290157,0.7223872,1.0,webp_quality_25,ImageCompression
aug_094,0.0014249214,True,0.013397951,0.7527395,1.0,webp_quality_10,ImageCompression
aug_095,0.0004499578,True,0.004754381,0.29313478,1.0,downscale_050_area_linear,Downscale
aug_096,0.00060588936,True,0.0061646947,0.4803228,1.0,downscale_040_area_linear,Downscale
aug_097,0.019446854,True,0.008469237,0.41823718,1.0,downscale_033_area_linear,Downscale
aug_098,0.007787586,True,0.018119765,0.9478867,1.0,downscale_025_area_linear,Downscale
aug_099,0.0006204998,True,0.004413683,0.25707766,1.0,ringing_overshoot_light,RingingOvershoot
