confidence_bucket,images,mean_clean_confidence,clean_top1,tta_top1,clean_wrong_tta_right,clean_right_tta_wrong,mean_oracle_recall,mean_selected_count
"[0.00, 0.50)",2093,0.3347262677429996,0.29479216435738176,0.3917821309125657,246,43,0.19604037267080746,17.0
"[0.50, 0.75)",2313,0.6261628633240215,0.4699524427150886,0.5758754863813229,261,16,0.18023130134025075,17.0
"[0.75, 0.90)",1860,0.8325450627073165,0.6010752688172043,0.6435483870967742,79,0,0.17506720430107528,17.0
"[0.90, 1.01)",18734,0.9916931811246468,0.9231877869114978,0.9252161844774207,38,0,0.17210352834418705,17.0
